id,created_at,category,ref_id,notified_at,title,updated_at
4FVZ0ewHQ4KGRiPBoGm1,2025-07-02T10:19:44.197Z,สสร.,A27,2025-07-02T10:19:44.197Z,คนที่ได้รับตำแหน่ง สสร. แล้ว ห้ามมาลงสมัคร สส. สว. หรือตำแหน่งทางการเมืองอีก เพื่อหลีกเลี่ยงผลประโยชน์ทับซ้อน,2025-07-02T10:19:44.197Z
4aNRcEnl4h9Kz5pxa6ff,2025-07-02T10:19:44.197Z,สสร.,A1,2025-07-02T10:19:44.197Z,การมีส่วนร่วมเกี่ยวโยงกับความยั่งยืนของรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
4i14t622N6uaKqAPYfKD,2025-07-02T10:19:44.197Z,สิทธิเสรีภาพ,A114,2025-09-09T11:04:50.299Z,ประชาชนต้องได้เข้าถึงกระบวนการยุติธรรมอย่างเท่าเทียมและเสมอภาคกัน,2025-09-09T11:04:50.299Z
4kDXCQeLCddQptKyOLX0,2025-09-12T03:52:22.535Z,อื่น ๆ,,2025-09-12T03:52:22.535Z,ประชาชนทำหน้าที่ขับเคลื่อนประเทศ โดยมีทหารทำหน้าที่รักษาชายแดน ไม่เข้าแทรกแซงการเมือง,2025-09-12T03:52:22.535Z
53UEd7GeI48aWUYhrgWZ,2025-07-02T10:19:44.197Z,การปกครองส่วนท้องถิ่น,A107,2025-07-02T10:19:44.197Z,ควรมีการกระจายอำนาจสู่ท้องถิ่น,2025-07-02T10:19:44.197Z
59G9i7h4GZtz0ScSAn0C,2025-07-02T10:19:44.197Z,สสร.,A50,2025-07-02T10:19:44.197Z,ควรกำหนดให้ สสร. เป็นตำแหน่งเต็มเวลา (Full time),2025-07-02T10:19:44.197Z
5YG7dKCSMALs9DqbO2ox,2025-07-02T10:19:44.197Z,อื่น ๆ,A96,2025-09-09T11:05:22.569Z,หน่วยงานที่ตรวจสอบรัฐบาล ต้องโปร่งใส,2025-09-09T11:05:22.569Z
5rWaEjqgvDdjO8xjUyME,2025-07-02T10:19:44.197Z,สสร.,A36,2025-07-02T10:19:44.197Z,ไม่เอาผู้เชี่ยวชาญที่มาโดยตำแหน่ง,2025-07-02T10:19:44.197Z
7MvMhsMTnlaGMGsDV1vu,2025-09-15T04:15:06.884Z,รัฐสภา,,2025-09-15T04:15:06.884Z,กองทัพต้องอยู่ภายใต้รัฐบาล และเป็นกองทัพที่มีประสิทธิภาพ,2025-09-15T04:15:06.884Z
7Wc7kBwm6cM0c2MxyCTL,2025-09-15T04:02:45.719Z,สวัสดิการ,,2025-09-15T04:16:24.669Z,ต้องไม่มีใครถูกทอดทิ้งจากสวัสดิการของรัฐ เช่น การรักษาพยาบาลที่มีประสิทธิภาพ การศึกษาที่ทันสมัย การมีอาชีพที่มั่นคง,2025-09-15T04:02:45.719Z
7nEY2QHVKCI2Ljwoyyno,2026-02-27T11:23:30.513Z,สิทธิเสรีภาพ,,2026-02-27T11:23:30.513Z,รัฐธรรมนูญจะต้องให้สิทธิเสรีภาพแก่ประชาชนมากขึ้น เพื่อวางรากฐานในการพัฒนาคุณภาพชีวิตและทรัพยากรมนุษย์ที่จะเป็นกำลังสำคัญในการพัฒนาประเทศ,2026-02-27T11:23:30.513Z
7xGInlChiHbtmWOyxXXd,2025-09-12T03:54:15.148Z,อื่น ๆ,,2025-09-12T03:54:15.148Z,แนวนโยบายพิสดารต่าง ๆ ของรัฐ ที่แม้จะเป็นความฝัน ก็เป็นจริงได้หากรัฐธรรมนูญเอื้อให้ผู้ถืออำนาจรัฐสามารถดำเนินนโยบายได้อย่างอิสระ,2025-09-12T03:54:15.148Z
8WtlnkWM0PlR19PBZTR8,2025-07-02T10:19:44.197Z,สสร.,A19,2025-07-02T10:19:44.197Z,การเลือกตั้ง สสร. แบบแบ่งเขต ควรแบ่งด้วยพื้นที่จังหวัด,2025-07-02T10:19:44.197Z
8vddQeCXJp9iuCwsqe7l,2025-07-02T10:19:44.197Z,สสร.,A55,2025-07-02T10:19:44.197Z,ผู้สมัครสสร.ต้อง มีระดับการศึกษาขั้นต่ำคือ ปริญญาตรี,2025-07-02T10:19:44.197Z
9InDlkI5HWtLSzJoExBd,2025-09-09T10:41:01.895Z,สิทธิเสรีภาพ,,2025-09-09T10:41:01.895Z,ผู้ต้องขังควรได้รับสิทธิในการพบแพทย์มากขึ้น,2025-09-09T10:41:01.895Z
9dCsKpEzmEmPYBkmYQOb,2025-09-12T03:36:14.536Z,การศึกษา,,2025-09-12T03:36:14.536Z,ควรมีการส่งเสริมความรู้ด้านรัฐธรรมนูญและสิทธิเบื้องต้น เพื่อให้สังคมมีเอกภาพ,2025-09-12T03:36:14.536Z
9g2CwbGiTaU7qQ0PH76a,2025-09-12T03:40:08.629Z,สวัสดิการ,,2025-09-12T03:40:08.629Z,หวังเห็นสวัสดิการที่ดีและครอบคลุม มีบำนาญเกษียณ มีค่าช่วยเลี้ยงดูบุตร,2025-09-12T03:40:08.629Z
A1zhD0A2zDnFjPYoxHqz,2025-07-02T10:19:44.197Z,สิ่งแวดล้อม,A99,2025-07-02T10:19:44.197Z,ลดปริมาณรถที่ใช้น้ำมันเพื่อลดมลพิษ,2025-07-02T10:19:44.197Z
AMhL4FYyP54kMEyMU18G,2025-07-02T10:19:44.197Z,สิทธิเสรีภาพ,A113,2025-07-02T10:19:44.197Z,เสียงของเด็กและเยาวชนต้องไม่ตกน้ำ,2025-07-02T10:19:44.197Z
AaA3IdPpPRmGriTmLm26,2025-07-02T10:19:44.197Z,สสร.,A15,2025-07-02T10:19:44.197Z,สสร.ต้องหาเสียงและนำเสนอโปรเจคต์ที่จะขับเคลื่อน,2025-07-02T10:19:44.197Z
AbNTr8HqvnxhAIxe6Iw6,2025-07-02T10:19:44.197Z,สสร.,A85,2025-07-02T10:19:44.197Z,การเลือกตั้งควรใช้บัตร 2 ใบ แบ่งเป็น เชิงพื้นที่และความเชี่ยวชาญ และแบ่งเขต 400 เขต,2025-07-02T10:19:44.197Z
BT8x8rmFStJjIMvPB10J,2025-09-05T10:22:57.808Z,สิทธิเสรีภาพ,,2025-11-27T08:44:40.875Z,ผู้พ้นโทษจากเรือนจำทุกคนต้องมีสิทธิที่จะพ้นจากการตีตรา และไม่ถูกกีดกันในการสมัครงานและประกอบอาชีพ,2025-09-05T10:31:33.512Z
C88gOdn5c8qXMV5MJ2h0,2025-07-02T10:19:44.197Z,สสร.,A17,2025-07-02T10:19:44.197Z,"หลักการสำคัญในการออกแบบ สสร. ต้อง Opendatby defalt, เปิดเผย และโปร่งใส",2025-07-02T10:19:44.197Z
CrOJFiVLJKlxb130FB4r,2025-07-02T10:19:44.197Z,อื่น ๆ,A115,2025-07-02T10:19:44.197Z,ต้องมีการสนับสนุนภาคการเกษตร,2025-07-02T10:19:44.197Z
DQeO2c4HGwT5KEdiOMbY,2025-06-11T03:48:36.318Z,การศึกษา,,2025-09-05T10:56:19.336Z,เด็กนักเรียนควรได้ปิดเทอมในฤดูฝน เพราะการเดินทางไปโรงเรียนในฤดูฝนทั้งลำบากและอันตราย,2025-09-05T10:56:19.336Z
DfJOY3sgMDlsp1Zdq9uU,2025-09-15T04:00:25.369Z,สสร.,,2025-09-15T04:00:25.369Z,สสร. มาจากการเลือกตั้งโดยประชาชน,2025-09-15T04:00:25.369Z
E8YzlcAsoGf8ysfgHcWa,2025-09-12T03:33:04.000Z,อื่น ๆ,,2025-09-12T03:33:04.000Z,อยากเห็นรัฐธรรมนูญเป็นกติกาที่รวมความคิดเห็นและความฝันทุกคน เพื่อก้าวไปข้างหน้าด้วยกัน,2025-09-12T03:33:04.000Z
EEcR0NvCxjwK7PH9cKjT,2025-07-02T10:19:44.197Z,สิทธิเสรีภาพ,A109,2025-07-02T10:19:44.197Z,ทุกคนสามารถเป็นตัวคนที่อยากเป็นในเมืองที่เสรี,2025-07-02T10:19:44.197Z
ENbNmkn2KZh24qMQ3APu,2025-07-02T10:19:44.197Z,สสร.,A5,2025-07-02T10:19:44.197Z,สสร. ต้องมาจากสัดส่วนอาชีพของประชากรในประเทศ,2025-07-02T10:19:44.197Z
EjCnAXDaaJuBQLhHI42W,2025-07-02T10:19:44.197Z,สสร.,A35,2025-07-02T10:19:44.197Z,สสร.ที่มีความชอบธรรมสูงจะมีอำนาจในการขับเคลื่อน,2025-07-02T10:19:44.197Z
F4KhD4lOYoeldMS4hYnG,2025-07-02T10:19:44.197Z,สสร.,A13,2025-09-09T11:14:23.395Z,สสร.ต้องมาจากการเลือกตั้งเท่านั้น,2025-09-09T11:14:23.395Z
F7usd2BUTX3k0p2kDtwI,2025-07-02T10:19:44.197Z,สสร.,A2,2025-07-02T10:19:44.197Z,สสร. ต้องมีอำนาจในการปกป้องการล้มรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
FTlX1sG1A34X6v4SF2KR,2025-07-02T10:19:44.197Z,สสร.,A39,2025-07-02T10:19:44.197Z,สสร. ต้องมีความโปร่งใสและตรวจสอบได้,2025-07-02T10:19:44.197Z
G8LaoiZ5UGGP9Da7Fyz5,2025-07-02T10:19:44.197Z,อื่น ๆ,A77,2025-09-09T11:14:56.850Z,รัฐธรรมนูญต้องต้องแก้ไขง่าย แต่ไม่ถูกฉีกง่าย,2025-09-09T11:14:56.850Z
GBq5BwwKMbbVQc6Y89rE,2025-06-25T03:45:04.726Z,สิทธิเสรีภาพ,,2025-09-05T10:46:38.624Z,สิทธิแรงงานและการได้รับค่าจ้างต้องได้รับการคุ้มครอง ไม่ว่าจะอยู่ในอาชีพใดหรือสถานะใด,2025-09-05T10:46:38.624Z
GWGd5rdE1uMxAeIT6o9n,2025-09-15T03:57:42.408Z,สิทธิเสรีภาพ,,2025-09-15T03:57:42.408Z,สิทธิในการเข้าถึงบริการสาธารณสุข ที่ทำได้จริง,2025-09-15T03:57:42.408Z
GaxoVIINVkWmZ2zMW0Ai,2025-09-12T03:43:22.670Z,อื่น ๆ,,2025-09-12T03:43:22.670Z,รัฐธรรมนูญคือการนำความเห็นทุกความเห็นมารวมกัน โดยต้องตรวจสอบได้ มีการกระจายอำนาจที่เป็นธรรม ต่อต้านการทุจริต และเพิ่มเสรีภาพในการแสดงออก,2025-09-12T03:43:22.670Z
GnCjAaUbc2WzgFdhlV2q,2025-09-12T03:51:11.229Z,รัฐสภา,,2025-09-12T03:51:11.229Z,รัฐธรรมนูญต้องไม่สร้างอุปสรรคในทางการเมือง ที่ขัดขวางหรือตีกรอบการทำงานของรัฐบาล,2025-09-12T03:51:11.229Z
HFZPo4OzbhEno0bLvM7e,2026-02-27T11:09:40.870Z,อื่น ๆ,,2026-02-27T11:09:40.870Z,รัฐธรรมนูญควรสามารถส่งผ่านไปให้กับผู้อื่นหรือนานาชาติในฐานะตัวแบบที่ประสบความสำเร็จและนำมาสู่การเปลี่ยนแปลงเช่นเดียวกัน,2026-02-27T11:09:40.870Z
HK63bfvXv3plsVJm1Q7U,2026-02-27T11:21:04.461Z,อื่น ๆ,,2026-02-27T11:21:04.461Z,"รัฐธรรมนูญจะต้องสร้างความมั่นคง ทั้งทางด้านการเมือง เศรษฐกิจ
รวมถึงมีแนวนโยบายที่ชัดเจน พร้อมที่จะพัฒนาประเทศไปข้างหน้า",2026-02-27T11:21:04.461Z
HTDgBRXcKY29K1Jdey0W,2025-09-12T03:35:32.988Z,อื่น ๆ,,2025-09-12T03:35:32.988Z,อยากให้มีสภาประชาชน เพื่อรวมความเห็น,2025-09-12T03:35:32.988Z
HVq2A7jVeLEtRGQrP1Py,2025-11-27T08:35:20.828Z,สิทธิเสรีภาพ,,2025-11-27T08:35:20.828Z,อยากให้มีการสนับสนุนให้สามารถเรียนไปด้วยทำงานไปด้วยได้ เพราะการมีรายได้จำเป็นกับครอบครัว ในขณะเดียวกันก็ไม่อยากออกจากระบบการศึกษา,2025-11-27T08:35:20.828Z
HtKMPnTUQEvqMVAZRO7x,2026-02-27T10:53:34.465Z,อื่น ๆ,,2026-02-27T10:53:34.465Z,ต้องมีการออกแบบรัฐธรรมนูญเพื่อลดอำนาจของผู้มีอำนาจเดิม และเปิดโอกาสให้คนส่วนมากของสังคมสามารถกำหนดทิศทางของประเทศได้ตามวิถีทางประชาธิปไตย,2026-02-27T10:53:34.465Z
IQCwYQpN6dyrQDca9UWs,2025-07-02T10:19:44.197Z,สวัสดิการ,A105,2025-07-02T10:19:44.197Z,ควรเพิ่มระบุสิทธิด้านสวัสดิการ (การศึกษา พยาบาล อาหาร ฯลฯ) โดยต้องใช้รูปแบบ “รัฐสวัสดิการ” ลงไปในรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
IjZMXmGBxDDaJKh5DyOZ,2025-09-15T04:13:38.933Z,อื่น ๆ,,2026-02-27T10:50:35.908Z,รัฐธรรมนูญต้องสามารถแก้ไขได้ง่าย ตามกลไกของระบอบประชาธิปไตย เพื่อให้รัฐธรรมนูญมีความสอดคล้องกับสถานการณ์ที่มีการเปลี่ยนแปลงไป,2025-09-30T07:14:22.118Z
J6vFHMcHA7KE6NsdIaEN,2025-06-11T07:01:31.396Z,สวัสดิการ,,2025-09-05T10:37:40.419Z,รัฐควรช่วยสงเคราะห์บุตร หรือขยายช่วงอายุของเด็ก,2025-09-05T10:37:40.419Z
JkA5Nu2tkiSGYSkuc9XK,2025-06-11T04:00:08.033Z,สวัสดิการ,,2025-09-05T10:38:24.259Z,เมืองควรออกแบบบนหลัก Universal Design เพื่อให้ทุกคนสามารถเข้าถึงและใช้ประโยชน์ได้อย่างสะดวก ไม่ว่าจะมีข้อจำกัดด้านร่างกายหรือไม่,2025-09-05T10:38:24.259Z
JkV4OtnlhvCzKVDYLx7h,2025-07-02T10:19:44.197Z,สสร.,A26,2025-07-02T10:19:44.197Z,ใบสมัครของสสร. ควรเปิดเผยจุดยืน คล้ายๆ หาเสียง เช่น ปฏิรูปกระบวนการศาล,2025-07-02T10:19:44.197Z
JrrSMrVIPnXKGeNiUZIJ,2025-07-02T10:19:44.197Z,สสร.,A74,2025-07-02T10:19:44.197Z,ให้ สรร. ที่จากประชาชน เลือกผู้เชี่ยวชาญเอง (based on content/agenda),2025-07-02T10:19:44.197Z
KGlNY6Z1v9IK1r2wc172,2025-11-27T08:40:20.406Z,สวัสดิการ,,2025-11-27T08:40:42.290Z,เพิ่มเงินเยียวยาผู้สูงอายุ และให้มีกลไกอื่น ๆ ร่วมด้วย เช่น การลดหย่อนภาษี,2025-11-27T08:40:20.406Z
KQU7CiheSFOtWiVDVBxL,2025-09-12T03:40:24.218Z,สิทธิเสรีภาพ,,2025-09-12T03:40:24.218Z,ต้องเคารพซึ่งความหลากหลายของชุมชน ให้สิทธิมนุษยชนแก่กลุ่มคนต่าง ๆ,2025-09-12T03:40:24.218Z
KT4M6sabcRzo7DQ2UYlK,2025-07-02T10:19:44.197Z,อื่น ๆ,A94,2025-07-02T10:19:44.197Z,เงินต้องไม่สามารถเปลี่ยนความผิดให้กลายเป็นความถูกต้องได้,2025-07-02T10:19:44.197Z
KnLQ88WRrt7g9gfxdAr1,2025-07-02T10:19:44.197Z,สสร.,A82,2025-07-02T10:19:44.197Z,สสร. ควรแปลงร่างเป็น ศาลรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
KxylHYyk2a6LnAUMKuCA,2025-07-02T10:19:44.197Z,สสร.,A28,2025-07-02T10:19:44.197Z,สภา หรือ ครม.สามารถมีส่วนร่วมกับ สสร.,2025-07-02T10:19:44.197Z
L7vAtfnZK03nF2zDvcvf,2025-07-02T10:19:44.197Z,สสร.,A63,2025-09-09T11:15:41.419Z,เดิมการรณรงค์ร่าง รธน. จะมี vision ร่วมกัน ทำคู่มือ/รณรงค์/กลุ่มย่อย วัดการตระหนักรู้ของผู้คน ในรอบนี้ก็เน้นกระบวนการนอกจากผลลัพธ์,2025-09-09T11:15:41.419Z
LKXzmA9tyTknWrjuwsup,2025-07-02T10:19:44.197Z,สสร.,A40,2025-07-02T10:19:44.197Z,สสร. ต้องมีโควต้าของแต่ละกลุ่ม เช่น LGBT ผู้หญิง กลุ่มเปราะบาง,2025-07-02T10:19:44.197Z
LXAf0kXAKcDM101rNBdJ,2025-07-02T10:19:44.197Z,รัฐสภา,A111,2025-07-02T10:19:44.197Z,ไม่เอา สว. และนายกคนนอก,2025-07-02T10:19:44.197Z
MJnDFwit09hLwa9T869f,2025-07-02T10:19:44.197Z,สสร.,A11,2025-07-02T10:19:44.197Z,ไม่ไว้ใจ กกต. และไม่ไว้ใจว่าจะได้แก้ รธน.,2025-07-02T10:19:44.197Z
MS7pv54zrhUr3FL3rmJu,2025-09-12T03:38:48.156Z,อื่น ๆ,,2025-09-12T03:38:48.156Z,กฎหมายต้องร่างให้สอดคล้องกับมาตรฐานสากล,2025-09-12T03:38:48.156Z
NKpuHPFOMLsCgTwgcHX9,2025-07-02T10:19:44.197Z,สิทธิเสรีภาพ,A108,2025-07-02T10:19:44.197Z,ต้องลดการผูกขาดของนายทุน,2025-07-02T10:19:44.197Z
NgqW0WIpOqn6lgiInybe,2025-06-25T03:47:16.008Z,สิทธิเสรีภาพ,,2025-09-05T10:45:40.594Z,รัฐต้องรับรองสิทธิในการมีตัวตนทางกฎหมายที่ปลอดภัย เพื่อไม่ตกเป็นเหยื่อการแอบอ้าง/หลอกใช้ข้อมูล,2025-09-05T10:45:40.594Z
NhxEw2QAIrvfKtWj3jWw,2025-07-02T10:19:44.197Z,สิ่งแวดล้อม,A97,2025-07-02T10:19:44.197Z,ทุกคนทิ้งขยะให้ถูกที่ รู้จักแยกขยะ นำขยะมารีไซเคิลได้ และจัดการกำจัดขยะให้เหมาะสมกับแต่ละประเภท,2025-07-02T10:19:44.197Z
NvzFEfaG6ZVZOzCL6oZi,2025-09-12T03:43:44.369Z,อื่น ๆ,,2025-09-12T03:43:44.369Z,ต้องตัด 'ถ้อยความพิสดาร' ออกจากรัฐธรรมนูญ,2025-09-12T03:43:44.369Z
PPDctBeP0CJft1MFeAC8,2025-07-02T10:19:44.197Z,สสร.,A46,2025-07-02T10:19:44.197Z,สสร.ต้อง represent เรื่องอุดมการณ์ทางการเมืองด้วย ไม่ใช่แค่ identity และ geopolitics,2025-07-02T10:19:44.197Z
Pl9XOn5DOwkr51BNH2hh,2025-07-02T10:19:44.197Z,สสร.,A7,2025-07-02T10:19:44.197Z,สสร. ต้องมีความสนใจในเรื่องประเด็นสาธารณะ มีความรู้ความเข้าใจ มีความสามารถในการสื่อสารภาษากฎหมายให้เข้าใจง่าย,2025-07-02T10:19:44.197Z
PoUrwgMfuXEibcipRMM4,2025-07-02T10:19:44.197Z,สสร.,A66,2025-07-02T10:19:44.197Z,อยากให้สร้างความตระหนักรู้เรื่องการจัดทำร่างรธน. เพื่อให้คนมามีส่วนร่วม,2025-07-02T10:19:44.197Z
QIx0bqPEjthH7vViEhlP,2026-02-27T11:07:01.090Z,อื่น ๆ,,2026-02-27T11:07:14.756Z,ต้องการเห็นรัฐธรรมนูญที่มีการเปิดการมีส่วนร่วมของประชาชนอย่างเต็มที่และเข้าถึงกับความต้องการของผู้คน,2026-02-27T11:07:01.090Z
QdwkFxZGRJlXljzJBtz9,2025-07-02T10:19:44.197Z,สิ่งแวดล้อม,A86,2025-07-02T10:19:44.197Z,ผลักดันการใช้และสนับสนุนพลังงานสะอาด,2025-07-02T10:19:44.197Z
QlyL9rV0Ups7Teg50p7C,2025-09-15T04:18:24.514Z,สวัสดิการ,,2025-09-15T04:18:45.089Z,ต้องพัฒนาระบบคมนาคมให้ครอบคลุม ทั่วถึง และราคาเข้าถึงง่าย,2025-09-15T04:18:45.089Z
QnMEfvJp90FiAYeNtnXb,2025-09-15T03:58:00.333Z,การปกครองส่วนท้องถิ่น,,2025-09-15T04:17:26.196Z,รัฐต้องจัดสรรงบประมาณไม่น้อยกว่าร้อยละ 50 ให้กับองค์กรปกครองส่วนท้องถิ่น,2025-09-15T03:58:00.333Z
Qq1TpRiXFWMxooMqijVt,2025-07-02T10:19:44.197Z,สสร.,A81,2025-07-02T10:19:44.197Z,สสร. ควรเป็นกระบวนกร เปิดกว้าง ไม่จำเป็นต้องคนเก่ง ถ้าเลือกเอาคนเก่งเขาก็จะเอาไอเดียตัวเองใส่ในร่างรัฐธรรมนูญ,2025-07-02T10:19:44.197Z
S6GtIWAGWDQXstwOMsxM,2025-06-11T03:49:34.398Z,สิทธิเสรีภาพ,,2025-09-09T10:59:06.084Z,"ผู้ต้องขังระหว่างพิจารณาคดีควรได้อยู่นอกเรือนจำจนกว่าการตัดสินคดีจะถึงที่สุด
",2025-06-11T03:49:34.398Z
SVBo1xoP6wqVOYRaY51q,2025-07-02T10:19:44.197Z,สสร.,A42,2025-07-02T10:19:44.197Z,สสร.ควรเป็นตัวแทน ของการรับฟังเสียงของประชาชนไม่ใช่เจ้าของรัฐธรรมนูญหรือเป็นคนเขียนรัฐธรรมนูญ ควรเป็นแค่คนรวบรวมเสียงของประชาชน,2025-07-02T10:19:44.197Z
TP5bSx8XiFR5Mhs98UPS,2025-07-02T10:19:44.197Z,สิ่งแวดล้อม,A98,2025-07-02T10:19:44.197Z,ต้องไม่มีการเผาขยะในชุมชนหรือทิ้งลงคลอง,2025-07-02T10:19:44.197Z
TkX92j12vULJx4imdK55,2025-06-25T03:45:41.019Z,การศึกษา,,2025-09-05T10:46:09.628Z,สิทธิในการศึกษาควรเป็นสิทธิขั้นพื้นฐานที่รัฐต้องจัดให้โดยไม่ผูกกับสถานะเศรษฐกิจหรือบริบทครอบครัว,2025-09-05T10:46:09.628Z
U3yJP2gjVAZV5h2JzNxY,2025-07-02T10:19:44.197Z,สสร.,A18,2025-07-02T10:19:44.197Z,การเลือกตั้ง สสร. ควรมีทั้งแบบแบ่งเขตและแบบบัญชีรายชื่อ,2025-07-02T10:19:44.197Z
U82cTKzPvQ8Jl1jByxpe,2025-06-11T03:45:30.479Z,สิทธิเสรีภาพ,,2025-06-11T04:03:07.033Z,LGBTQIA+ ควรได้รับทั้งสิทธิที่เป็นลายลักษณ์อักษร และการยอมรับจากสังคม,2025-06-11T04:03:07.033Z
UAUwl0DaojqWo5PD1hl8,2025-07-02T10:19:44.197Z,สสร.,A51,2025-07-02T10:19:44.197Z,ควรเปิดโอกาสให้คนเป็นสื่อสามารถสมัครเป็น สสร. ได้,2025-07-02T10:19:44.197Z
UUVQPnkru2xj8tnf9x9r,2025-07-02T10:19:44.197Z,สวัสดิการ,A103,2025-07-02T10:19:44.197Z,ต้องนำภาษีที่เก็บมาต่อยอดพัฒนาคุณภาพชีวิตของประชาชน และโครงสร้างพื้นฐานที่มีคุณภาพ,2025-07-02T10:19:44.197Z
UbT3ZT9TokEuDlA3yap5,2025-06-25T03:47:44.130Z,สิทธิเสรีภาพ,,2025-09-05T10:45:31.268Z,รัฐต้องป้องกันการใช้ความรุนแรงในครอบครัวและรับรองสิทธิเด็กในการเติบโตอย่างปลอดภัย,2025-09-05T10:45:31.268Z
UiN8egrbml9767vx9jT5,2025-07-02T10:19:44.197Z,สสร.,A83,2025-07-02T10:19:44.197Z,สื่อมวลชนมีความสำคัญอย่างมากต่อการส่งเสริมการมีส่วนร่วมของประชาชนในสังคม,2025-07-02T10:19:44.197Z
UiPSbzGwIdu94dj1WKN4,2025-07-02T10:19:44.197Z,สสร.,A84,2025-07-02T10:19:44.197Z,ให้ทุกคน (ประชาชน) มา crack ปัญหาของรัฐธรรมนูญก่อน เพื่อมองเห็นปัญหาในการแก้ไข,2025-07-02T10:19:44.197Z
UleYx7RFuAD5OD6KsFhE,2025-07-02T10:19:44.197Z,สสร.,A44,2025-07-02T10:19:44.197Z,สว ศาล ไม่ควรนำผลประโยชน์ของตัวเองเป็นตัวตั้ง (ในการให้ความเห็นเรื่องรัฐธรรมนูญ) ควรมีการพูดคุยที่ไม่ได้เอาผลประโยชน์ของตัวเองเป็นหลัก,2025-07-02T10:19:44.197Z
V0dkfSPE4GP6d5lpNaHz,2025-07-02T10:19:44.197Z,สสร.,A9,2025-07-02T10:19:44.197Z,สสร. ต้องมีธรรมาภิบาล มีความชำนาญในแต่ละสาขาอาชีพ(ให้มากที่สุด) และตัวแทนจากกลุ่มรากหญ้า,2025-07-02T10:19:44.197Z
V8mRVC0MDmkQBgs9erqT,2025-09-12T03:31:49.226Z,อื่น ๆ,,2026-02-27T10:47:00.845Z,รัฐธรรมนูญต้องไม่มีช่องโหว่ โอบรับความหลากหลาย ยืดหยุ่น เข้าถึงง่าย และเปิดรับฟังความเห็นของประชาชนให้มากกว่านี้,2025-09-12T03:31:49.226Z
